Ticker,pick_prob_up,pick_score,start_close,end_close_5d,forward_return_5d_pct,hit,model,pick_date
ADBE,82.70396685112789,73.0,234.839996,,,,lightgbm,2026-03-29
AFRM,93.037641140359,79.3,42.529999,,,,catboost,2026-03-29
AFRM,91.04416938437816,77.2,42.529999,,,,lightgbm,2026-03-29
AFRM,81.47311806678772,72.7,42.529999,,,,xgboost,2026-03-29
ALFA.L,92.8268047845927,75.5,142.399994,,,,catboost,2026-03-29
ALFA.L,90.70203078705578,72.0,142.399994,,,,lightgbm,2026-03-29
ALFA.L,91.73294305801392,74.0,142.399994,,,,xgboost,2026-03-29
APP,76.22584586136837,71.2,381.200012,,,,catboost,2026-03-29
APP,90.11396229464644,77.5,381.200012,,,,lightgbm,2026-03-29
APP,77.46556401252747,72.5,381.200012,,,,xgboost,2026-03-29
AVB,90.93254466076225,71.1,160.809998,,,,catboost,2026-03-29
BA.L,84.06406358763347,70.0,2067.0,,,,lightgbm,2026-03-29
BAB.L,83.76695551691753,70.3,1155.0,,,,lightgbm,2026-03-29
CRWD,86.12829659200848,71.8,369.579987,,,,catboost,2026-03-29
CRWD,79.46553826332092,70.5,369.579987,,,,xgboost,2026-03-29
DASH,86.5994979904455,72.1,146.600006,,,,lightgbm,2026-03-29
DE,88.13256850851192,71.1,566.640015,,,,lightgbm,2026-03-29
DHR,87.12168707527694,70.2,181.520004,,,,catboost,2026-03-29
EL.PA,88.61855739584739,71.7,194.800003,,,,catboost,2026-03-29
EL.PA,95.28660135009488,72.6,194.800003,,,,lightgbm,2026-03-29
EMR,94.04789392235485,70.2,125.400002,,,,lightgbm,2026-03-29
HD,86.83131337165833,71.0,321.649994,,,,xgboost,2026-03-29
HOOD,84.32505784217607,74.6,66.019997,,,,lightgbm,2026-03-29
HUBS,80.28323171936972,71.2,230.789993,,,,lightgbm,2026-03-29
HWM,79.13037358859269,73.6,227.899994,,,,lightgbm,2026-03-29
III.L,93.6094779645367,74.1,2323.0,,,,catboost,2026-03-29
III.L,90.02311454114844,71.8,2323.0,,,,lightgbm,2026-03-29
INTU,81.82581297970003,70.1,416.440002,,,,catboost,2026-03-29
IR,86.24589651538288,73.0,79.449997,,,,catboost,2026-03-29
IR,87.91380165468506,73.6,79.449997,,,,lightgbm,2026-03-29
KGX.DE,94.9270990458411,71.3,44.68,,,,lightgbm,2026-03-29
LLY,80.4454589302823,70.3,878.23999,,,,lightgbm,2026-03-29
META,77.91508867289177,70.6,525.719971,,,,catboost,2026-03-29
META,86.32927384549916,73.1,525.719971,,,,lightgbm,2026-03-29
NOW,90.18137445981354,70.5,99.410004,,,,catboost,2026-03-29
PST.MI,87.97078350092589,73.1,19.795,,,,catboost,2026-03-29
PST.MI,95.4693196277969,72.1,19.795,,,,lightgbm,2026-03-29
PST.MI,87.31388449668884,71.9,19.795,,,,xgboost,2026-03-29
RBLX,83.7271691689515,71.0,52.310001,,,,catboost,2026-03-29
RBLX,78.53244151501407,70.6,52.310001,,,,lightgbm,2026-03-29
REL.L,91.56757149866657,73.5,2393.0,,,,lightgbm,2026-03-29
REL.L,88.56334090232849,73.2,2393.0,,,,xgboost,2026-03-29
ROG.SW,94.63780108478922,70.9,312.5,,,,lightgbm,2026-03-29
SAP.DE,92.76415312505334,71.7,142.559998,,,,catboost,2026-03-29
SAP.DE,92.5857068781607,72.0,142.559998,,,,lightgbm,2026-03-29
SBUX,72.67463803291321,70.1,86.809998,,,,xgboost,2026-03-29
TEAM,92.8751462935982,75.2,65.120003,,,,catboost,2026-03-29
TEAM,95.39966115624792,76.5,65.120003,,,,lightgbm,2026-03-29
TEAM,86.75168752670288,73.7,65.120003,,,,xgboost,2026-03-29
TOL,78.96374376958919,71.1,131.119995,,,,catboost,2026-03-29
WEIR.L,94.41004847866944,72.7,2754.0,,,,catboost,2026-03-29
WEIR.L,96.0504183743596,72.8,2754.0,,,,lightgbm,2026-03-29
WEIR.L,94.04300451278688,72.2,2754.0,,,,xgboost,2026-03-29
ZS,87.18604014326638,70.3,133.160004,,,,lightgbm,2026-03-29
ABB.ST,93.35291650134566,70.8,744.0,,,,catboost,2026-03-30
ADBE,82.70396685112789,73.0,234.839996,,,,lightgbm,2026-03-30
AFRM,93.037641140359,79.3,42.529999,,,,catboost,2026-03-30
AFRM,91.04416938437816,77.2,42.529999,,,,lightgbm,2026-03-30
AFRM,81.47311806678772,72.7,42.529999,,,,xgboost,2026-03-30
ALFA.L,89.194244502253,70.0,141.0,,,,catboost,2026-03-30
ALFA.L,93.46110563855473,73.0,141.0,,,,lightgbm,2026-03-30
ALFA.L,94.29903030395508,75.7,141.0,,,,xgboost,2026-03-30
APP,76.22584586136837,71.2,381.200012,,,,catboost,2026-03-30
APP,90.11396229464643,77.5,381.200012,,,,lightgbm,2026-03-30
APP,77.46556401252747,72.5,381.200012,,,,xgboost,2026-03-30
AVB,90.93254466076225,71.1,160.809998,,,,catboost,2026-03-30
BAB.L,94.76691812583155,74.6,1147.0,,,,lightgbm,2026-03-30
BAB.L,84.14484858512878,70.4,1152.0,,,,xgboost,2026-03-30
BBVA.MC,86.39764213004426,70.6,17.809999,,,,lightgbm,2026-03-30
BNP.PA,85.50098072222613,72.6,79.800003,,,,lightgbm,2026-03-30
BNP.PA,80.52794337272644,72.9,79.870003,,,,xgboost,2026-03-30
CAML.L,94.12442254334326,70.4,157.0,,,,lightgbm,2026-03-30
CRWD,86.12829659200848,71.8,369.579987,,,,catboost,2026-03-30
CRWD,79.46553826332092,70.5,369.579987,,,,xgboost,2026-03-30
DASH,86.5994979904455,72.1,146.600006,,,,lightgbm,2026-03-30
DBK.DE,90.53981063086977,71.2,24.629999,,,,lightgbm,2026-03-30
DBK.DE,85.67540297290209,71.3,24.645,,,,catboost,2026-03-30
DE,88.13256850851192,71.1,566.640015,,,,lightgbm,2026-03-30
DHR,87.12168707527694,70.2,181.520004,,,,catboost,2026-03-30
EMR,94.04789392235483,70.2,125.400002,,,,lightgbm,2026-03-30
FRES.L,87.28365752945611,74.6,3164.0,,,,lightgbm,2026-03-30
FRES.L,86.06969118118286,70.3,3172.0,,,,xgboost,2026-03-30
FUTR.L,83.92016291618347,70.1,381.799988,,,,xgboost,2026-03-30
FUTR.L,94.60044335743517,71.8,382.200012,,,,lightgbm,2026-03-30
GFRD.L,75.89170932769775,71.2,478.0,,,,xgboost,2026-03-30
HD,86.83131337165833,71.0,321.649994,,,,xgboost,2026-03-30
HOOD,84.32505784217607,74.6,66.019997,,,,lightgbm,2026-03-30
